X,Y,OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
2495942.728,2409837.911,9,T20150013858,ABS to receive accident,Finished,2015/07/01 00:00:00+00,1899/12/30 17:15:00+00,No,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,40 km/hr,No,65831,144.95396989,-37.81254782,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2495942.728,2409837.911,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1.0,0.0,1.0,0.0,0.0,MELBOURNE_CBD,"MELB_URBAN,MELBOURNE_CBD",MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Local Road,Arterial Other",Divided,"Undivided,Divided",Metro
2496399.887,2409263.536,74,T20150014042,ABS to receive accident,Finished,2015/07/04 00:00:00+00,1899/12/30 02:30:00+00,Yes,Collision with vehicle,Saturday,U TURN,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,40 km/hr,No,36867,144.95911302,-37.81762742,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496399.887,2409263.536,4,1,0,0,1,3,3,1,0,2,2,0,0,0,0,0,0,0,0,2,No,0,2.0,0.0,2.0,0.0,0.0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2494472.276,2408380.146,76,T20150014056,ABS to receive accident,Finished,2015/07/04 00:00:00+00,1899/12/30 12:15:00+00,No,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,No,281764,144.93740311,-37.82559071,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2494472.276,2408380.146,9,4,0,0,4,5,3,6,0,5,4,0,0,0,0,0,0,0,0,1,No,0,4.0,0.0,4.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,M,M,Freeway,"Freeway,Local Road",Divided,"Divided,Undivided",Metro
2496432.346,2410761.821,78,T20150013908,ABS to receive accident,Finished,2015/07/02 00:00:00+00,1899/12/30 07:00:00+00,No,Collision with vehicle,Thursday,LEFT TURN SIDESWIPE,No,Dark Street lights unknown,No,Cross intersection,Other injury accident,50 km/hr,No,31046,144.95945358,-37.80405869,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496432.346,2410761.821,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2.0,0.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2497308.249,2409479.502,119,T20150013946,ABS to receive accident,Finished,2015/07/02 00:00:00+00,1899/12/30 19:55:00+00,Yes,Collision with vehicle,Thursday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,40 km/hr,No,291189,144.96943631,-37.81569952,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497308.249,2409479.502,5,2,0,0,2,3,4,1,0,3,2,0,0,0,0,0,0,0,0,0,No,0,2.0,0.0,2.0,0.0,0.0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,Divided,Metro
2495743.034,2411642.807,130,T20150014024,ABS to receive accident,Finished,2015/07/03 00:00:00+00,1899/12/30 18:40:00+00,Yes,Collision with vehicle,Friday,U TURN,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,40 km/hr,No,291331,144.95164851,-37.79619345,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2495743.034,2411642.807,3,1,0,0,1,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2.0,0.0,2.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2496533.971,2409189.836,138,T20150014048,ABS to receive accident,Finished,2015/07/04 00:00:00+00,1899/12/30 05:14:00+00,Yes,Collision with vehicle,Saturday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,217,144.96063921,-37.81833265,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496533.971,2409189.836,6,1,0,0,1,5,3,0,0,4,2,0,0,0,0,0,0,0,0,1,No,0,2.0,0.0,2.0,0.0,0.0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2495877.464,2409568.085,153,T20150014306,ABS to receive accident,Finished,2015/07/08 00:00:00+00,1899/12/30 14:23:00+00,No,Struck Pedestrian,Wednesday,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,Yes,Day,Yes,Not at intersection,Other injury accident,Not known,No,293179,144.95320966,-37.81497316,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2495877.464,2409568.085,5,1,0,0,1,4,3,1,0,3,1,1,0,0,0,0,0,0,0,0,No,0,1.0,0.0,1.0,0.0,0.0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2497400.884,2411501.602,215,T20150014431,ABS to receive accident,Finished,2015/07/10 00:00:00+00,1899/12/30 09:25:00+00,No,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,36370,144.97046768,-37.79744065,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497400.884,2411501.602,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1.0,0.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,Divided,Metro
2496326.95,2411918.462,216,T20150014448,ABS to receive accident,Finished,2015/07/06 00:00:00+00,1899/12/30 07:20:00+00,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Dusk/Dawn,No,Cross intersection,Other injury accident,50 km/hr,No,36222,144.95839159,-37.79370982,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496326.95,2411918.462,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2.0,0.0,2.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Local Road,Arterial Other",Divided,"Undivided,Divided",Metro
2497558.99,2409470.627,236,T20150014678,ABS to receive accident,Finished,2015/07/14 00:00:00+00,1899/12/30 10:00:00+00,No,Vehicle overturned (no collision),Tuesday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,Not at intersection,Other injury accident,40 km/hr,No,272520,144.97265927,-37.81569349,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497558.99,2409470.627,2,1,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,No,0,2.0,0.0,1.0,1.0,0.0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,Divided,Metro
2496914.921,2409327.249,274,T20150014543,ABS to receive accident,Finished,2015/07/11 00:00:00+00,1899/12/30 21:30:00+00,Yes,Struck Pedestrian,Friday,PED WALKING WITH TRAFFIC,Yes,Dark Street lights on,Yes,Not at intersection,Other injury accident,40 km/hr,No,291776,144.96498072,-37.81710481,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496914.921,2409327.249,2,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,No,0,1.0,0.0,0.0,0.0,0.0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2492569.404,2413268.772,293,T20150014365,ABS to receive accident,Finished,2015/07/09 00:00:00+00,1899/12/30 12:20:00+00,No,Collision with vehicle,Thursday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,356993,144.9156669,-37.78152086,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2492569.404,2413268.772,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2.0,0.0,2.0,0.0,0.0,MELB_URBAN,MELB_URBAN,"MELBOURNE,MOONEE VALLEY",METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro
2498103.422,2406315.54,300,T20150014774,ABS to receive accident,Finished,2015/07/15 00:00:00+00,1899/12/30 18:00:00+00,Yes,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,No,Not at intersection,Serious injury accident,60 km/hr,No,293122,144.97851087,-37.84420097,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2498103.422,2406315.54,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1.0,0.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,"MELBOURNE,PORT PHILLIP",METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,Divided,Metro
2497744.503,2412009.632,350,T20150014364,ABS to receive accident,Finished,2015/07/04 00:00:00+00,1899/12/30 18:30:00+00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,No,Not at intersection,Other injury accident,60 km/hr,No,291567,144.97438906,-37.79288927,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497744.503,2412009.632,5,1,0,0,1,4,3,2,0,2,3,0,0,0,0,0,0,0,0,1,No,0,3.0,0.0,3.0,0.0,0.0,MELB_URBAN,MELB_URBAN,"MELBOURNE,YARRA",METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,Divided,Metro
2497901.728,2407012.51,351,T20150014393,ABS to receive accident,Finished,2015/07/07 00:00:00+00,1899/12/30 15:00:00+00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,No,Day,No,Not at intersection,Other injury accident,60 km/hr,No,291450,144.97634845,-37.83777003,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497901.728,2407012.51,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2.0,0.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,"MELBOURNE,PORT PHILLIP",METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,Divided,Metro
2495596.173,2410096.701,361,T20150015037,ABS to receive accident,Finished,2015/07/19 00:00:00+00,1899/12/30 07:00:00+00,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Cross intersection,Serious injury accident,60 km/hr,Yes,29413,144.94996153,-37.81015666,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2495596.173,2410096.701,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1.0,0.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,"Divided,Undivided",Metro
2498006.468,2409500.529,367,T20150014396,ABS to receive accident,Finished,2015/07/09 00:00:00+00,1899/12/30 14:45:00+00,No,Collision with vehicle,Thursday,U TURN,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,29431,144.97735843,-37.81551277,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2498006.468,2409500.529,3,1,0,0,1,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,No,0,2.0,0.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Divided,Undivided",Metro
2498072.005,2408640.145,390,T20150015181,ABS to receive accident,Finished,2015/07/21 00:00:00+00,1899/12/30 10:57:00+00,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,291874,144.97810735,-37.82327032,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2498072.005,2408640.145,2,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2.0,0.0,2.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Highway,Arterial Highway,Divided,Divided,Metro
2496733.174,2408047.647,410,T20150014860,ABS to receive accident,Finished,2015/07/16 00:00:00+00,1899/12/30 22:25:00+00,Yes,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,No,357467,144.96289913,-37.82859561,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496733.174,2408047.647,4,1,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,1,No,0,3.0,0.0,3.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Highway,Arterial Highway,Divided,Divided,Metro
2492164.646,2410451.966,416,T20150014442,ABS to receive accident,Finished,2015/07/10 00:00:00+00,1899/12/30 12:45:00+00,No,Collision with vehicle,Friday,U TURN,No,Day,Yes,Multiple intersection,Serious injury accident,70 km/hr,No,292665,144.91078226,-37.80685353,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2492164.646,2410451.966,4,3,0,1,2,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2.0,1.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Highway,Arterial Highway,Divided,Divided,Metro
2497720.07,2409707.472,418,T20150014674,ABS to receive accident,Finished,2015/07/14 00:00:00+00,1899/12/30 08:45:00+00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,No,Dusk/Dawn,Yes,T intersection,Other injury accident,40 km/hr,No,65883,144.97414718,-37.81361894,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497720.07,2409707.472,3,1,0,0,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,No,0,2.0,0.0,1.0,0.0,0.0,MELBOURNE_CBD,"MELB_URBAN,MELBOURNE_CBD",MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2494037.678,2409050.582,431,T20150014432,ABS to receive accident,Finished,2015/07/10 00:00:00+00,1899/12/30 11:10:00+00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,No,357455,144.93228283,-37.81954972,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2494037.678,2409050.582,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2.0,0.0,2.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,M,M,Freeway,Freeway,Divided,Divided,Metro
2497715.45,2408520.585,441,T20150014882,ABS to receive accident,Finished,2015/07/17 00:00:00+00,1899/12/30 09:35:00+00,No,Collision with vehicle,Friday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,No,291780,144.97447486,-37.8250638,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497715.45,2408520.585,3,1,0,0,1,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,No,0,3.0,1.0,2.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,M,M,Freeway,Freeway,Divided,Divided,Metro
2497112.618,2409340.622,465,T20150014527,ABS to receive accident,Finished,2015/07/10 00:00:00+00,1899/12/30 21:50:00+00,Yes,No collision and no object struck,Friday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,40 km/hr,No,291484,144.96721205,-37.81695049,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497112.618,2409340.622,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No,0,1.0,0.0,0.0,0.0,0.0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2496259.055,2411221.639,470,T20150014621,ABS to receive accident,Finished,2015/07/13 00:00:00+00,1899/12/30 08:20:00+00,No,Collision with vehicle,Monday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,No,Dusk/Dawn,No,Not at intersection,Other injury accident,50 km/hr,No,291932,144.9575193,-37.80001989,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496259.055,2411221.639,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2.0,0.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,Divided,Metro
2499214.924,2409973.054,477,T20150015032,ABS to receive accident,Finished,2015/07/19 00:00:00+00,1899/12/30 08:50:00+00,Yes,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dusk/Dawn,Yes,T intersection,Serious injury accident,70 km/hr,No,37055,144.99102445,-37.8112055,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2499214.924,2409973.054,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1.0,0.0,0.0,0.0,1.0,MELB_URBAN,MELB_URBAN,"MELBOURNE,YARRA",METROPOLITAN NORTH WEST REGION,,,Arterial Highway,"Local Road,Arterial Highway",Divided,Divided,Metro
