X,Y,OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
2495942.728,2409837.911,9,T20150013858,ABS to receive accident,Finished,2015/07/01 00:00:00+00,1899/12/30 17:15:00+00,No,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,40 km/hr,No,65831,144.9539699,-37.81254782,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2495942.728,2409837.911,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELBOURNE_CBD,"MELB_URBAN,MELBOURNE_CBD",MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Local Road,Arterial Other",Divided,"Undivided,Divided",Metro
2497400.884,2411501.602,215,T20150014431,ABS to receive accident,Finished,2015/07/10 00:00:00+00,1899/12/30 09:25:00+00,No,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,36370,144.9704677,-37.79744065,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497400.884,2411501.602,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,Divided,Metro
2496914.921,2409327.249,274,T20150014543,ABS to receive accident,Finished,2015/07/11 00:00:00+00,1899/12/30 21:30:00+00,Yes,Struck Pedestrian,Friday,PED WALKING WITH TRAFFIC,Yes,Dark Street lights on,Yes,Not at intersection,Other injury accident,40 km/hr,No,291776,144.9649807,-37.81710481,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496914.921,2409327.249,2,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,Not Alcohol Related,0,1,0,0,0,0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2495478.623,2410610.322,516,T20150015446,ABS to receive accident,Finished,2015/07/24 00:00:00+00,1899/12/30 18:49:00+00,Yes,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,29377,144.9485614,-37.80548968,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2495478.623,2410610.322,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,Divided,Metro
2497142.842,2411537.254,1220,T20150016476,ABS to receive accident,Finished,2015/08/07 00:00:00+00,1899/12/30 21:15:00+00,Yes,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,109,144.9676136,-37.79714323,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497142.842,2411537.254,3,1,0,0,1,2,2,1,0,1,1,1,0,0,0,0,0,0,0,1,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,"Undivided,Divided",Metro
2497552.068,2409563.396,1233,T20150017134,ABS to receive accident,Finished,2015/08/17 00:00:00+00,1899/12/30 12:09:00+00,No,Collision with a fixed object,Monday,PARKED CAR RUN AWAY,No,Day,Yes,Not at intersection,Other injury accident,40 km/hr,No,296333,144.9721573,-37.81485826,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497552.068,2409563.396,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,0,0,0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2497222.107,2409317.631,1286,T20150014889,ABS to receive accident,Finished,2015/07/17 00:00:00+00,1899/12/30 13:00:00+00,No,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Not at intersection,Other injury accident,40 km/hr,No,292256,144.9684588,-37.81718043,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497222.107,2409317.631,3,1,0,0,1,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELBOURNE_CBD,"MELB_URBAN,MELBOURNE_CBD",MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro
2498010.233,2408731.614,1295,T20150016528,ABS to receive accident,Finished,2015/08/08 00:00:00+00,1899/12/30 18:40:00+00,Yes,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,No,292734,144.9774277,-37.82242391,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2498010.233,2408731.614,3,1,0,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Freeway,Freeway,Divided,Divided,Metro
2496340.939,2412048.313,1313,T20150017481,ABS to receive accident,Finished,2015/08/22 00:00:00+00,1899/12/30 09:30:00+00,No,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,36221,144.9584549,-37.79255198,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496340.939,2412048.313,2,1,0,0,1,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Local Road,Arterial Other",Divided,"Divided,Undivided",Metro
2497142.842,2411537.254,1330,T20150016897,ABS to receive accident,Finished,2015/07/13 00:00:00+00,1899/12/30 18:00:00+00,Yes,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights unknown,No,Cross intersection,Other injury accident,40 km/hr,No,109,144.9675577,-37.79715951,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497142.842,2411537.254,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,"Undivided,Divided",Metro
2498469.178,2409435.987,1375,T20150016745,ABS to receive accident,Finished,2015/08/07 00:00:00+00,1899/12/30 22:00:00+00,Yes,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,No,Cross intersection,Other injury accident,60 km/hr,No,36414,144.9825159,-37.81611304,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2498469.178,2409435.987,2,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Local Road,Arterial Other",Divided,"Undivided,Divided",Metro
2496311.27,2408153.611,1616,T20150016915,ABS to receive accident,Finished,2015/08/13 00:00:00+00,1899/12/30 13:47:00+00,No,Struck Pedestrian,Thursday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,36875,144.9580985,-37.82764333,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496311.27,2408153.611,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro
2495033.794,2410956.169,1621,T20150017275,ABS to receive accident,Finished,2015/08/18 00:00:00+00,1899/12/30 19:30:00+00,Yes,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,No,Cross intersection,Other injury accident,60 km/hr,No,36085,144.9435836,-37.80239816,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2495033.794,2410956.169,2,2,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Undivided,Divided",Metro
2497328.073,2410098.039,1881,T20150017477,ABS to receive accident,Finished,2015/08/21 00:00:00+00,1899/12/30 13:02:00+00,No,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,No,Cross intersection,Serious injury accident,40 km/hr,No,36966,144.9696539,-37.81013691,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497328.073,2410098.039,2,1,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,Not Alcohol Related,0,1,0,0,0,0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,Divided,Metro
2496993.052,2410447.963,2106,T20150018048,ABS to receive accident,Finished,2015/08/28 00:00:00+00,1899/12/30 23:13:00+00,Yes,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,40 km/hr,No,35319,144.9658894,-37.80694533,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496993.052,2410447.963,2,1,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,Not Alcohol Related,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,Divided,Metro
