state,electorate,site_id,latitude,longitude,legs,description,layout_1,layout_1_enter,layout_2,layout_2_enter,layout_3,layout_3_enter,layout_4,layout_4_enter,layout_5,layout_5_enter,layout_6,layout_6_enter,leg1-2,leg1-3,leg1-4,leg1-5,leg1-6,leg2-1,leg2-3,leg2-4,leg2-5,leg2-6,leg3-1,leg3-2,leg3-4,leg3-5,leg3-6,leg4-1,leg4-2,leg4-3,leg4-5,leg4-6,leg5-1,leg5-2,leg5-3,leg5-4,leg5-6,leg6-1,leg6-2,leg6-3,leg6-4,leg6-5,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,female,male,not known,total,year,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,location,geolocation
VIC,Melbourne,6554,-37.825963,144.960053,4,,12,192,43,223,158,338,222,42,,,,,0,57,15,,,3,3,22,,,65,8,1,,,21,25,1,,,,,,,,,,,,,72,89,161,28,33,61,74,61,135,47,38,85,,,,,,,52,168,1,221,2017,8,18,21,31,41,37,30,35,POINT (144.960053 -37.825963),"-37.825963, 144.960053"
VIC,Melbourne,4406,-37.794117,144.927689,4,"McCracken St [N], Macaulay Rd [E], Kensington Rd [SW], Epsom [NW]",0,180,98,278,233,53,323,143,,,,,0,2,2,,,0,5,2,,,6,21,1,,,1,51,3,,,,,,,,,,,,,4,7,11,7,72,79,28,10,38,55,5,60,,,,,,,26,68,0,94,2017,10,6,8,12,8,12,26,12,POINT (144.927689 -37.79411700000001),"-37.794117, 144.927689"
VIC,Melbourne,4407,-37.79454,144.930987,4,"Macaulay Rd - east end [E], Eastwood St [S], Macaulay Rd [W], Eastwood St/Rankins Rd [N]",98,278,161,341,278,98,350,170,,,,,0,8,3,,,1,0,1,,,101,12,1,,,70,18,4,,,,,,,,,,,,,11,172,183,2,30,32,114,12,126,92,5,97,,,,,,,71,148,0,219,2017,10,16,21,28,36,37,46,25,POINT (144.93098700000002 -37.79454),"-37.79454, 144.930987"
VIC,Melbourne,4408,-37.795096,144.935852,4,"Upstream direction [N], Macaulay Rd [E], Moonee Ponds Crk Trail [S], Macaulay Rd [W]",7,187,98,278,180,360,278,98,,,,,0,713,0,,,0,0,10,,,68,0,0,,,0,230,0,,,,,,,,,,,,,713,68,781,10,230,240,68,713,781,230,10,240,,,,,,,267,748,6,1021,2017,86,113,146,136,155,177,103,105,POINT (144.935852 -37.795096),"-37.795096, 144.935852"
VIC,Melbourne,4409,-37.795421,144.93885,5,"Boundary Rd [N], Canning St [E], Macaulay Rd [SE], Boundary Rd [S], Macaulay Rd [W]",8,188,98,278,140,320,188,8,278,98,,,0,5,2,3,,0,0,0,3,,3,0,1,5,,1,0,0,1,,2,23,147,1,,,,,,,10,6,16,3,23,26,9,152,161,2,4,6,173,12,185,,,,66,131,0,197,2017,15,11,24,24,23,38,35,27,POINT (144.93885 -37.795421),"-37.795421, 144.93885"
VIC,Melbourne,4411,-37.796627,144.951172,4,"Gatehouse St [NE], Flemington Rd [SE], Harker St [SW], Flemington Rd [NW]",45,225,135,315,225,45,315,135,,,,,3,21,4,,,2,9,329,,,37,15,15,,,0,46,1,,,,,,,,,,,,,28,39,67,340,64,404,67,31,98,47,348,395,,,,,,,159,305,18,482,2017,24,36,48,47,72,84,80,91,POINT (144.951172 -37.796627),"-37.796627, 144.951172"
VIC,Melbourne,4416,-37.808155,144.968765,4,"Exhibition St [N], La Trobe St [E], Exhibition St [S], La Trobe St [W]",6,186,70,250,160,340,250,70,,,,,1,542,349,,,3,13,123,,,26,8,14,,,12,36,77,,,,,,,,,,,,,892,41,933,139,45,184,48,632,680,125,486,611,,,,,,,371,826,7,1204,2017,47,66,105,156,204,223,208,195,POINT (144.968765 -37.808155),"-37.808155, 144.968765"
VIC,Melbourne,4420,-37.809547,144.975632,4,"Gisborne St [N], Albert St [E], Gisborne St [S], Albert St (city) [W]",8,188,98,278,188,8,278,98,,,,,7,315,45,,,24,120,272,,,27,6,6,,,4,52,11,,,,,,,,,,,,,367,55,422,416,65,481,39,446,485,67,323,390,,,,,,,250,639,0,889,2017,40,67,79,124,140,141,150,148,POINT (144.975632 -37.809547),"-37.809547, 144.975632"
VIC,Melbourne,4425,-37.811039,144.958847,4,"La Trobe towards Exhibition St [E], Queen St [S], La Trobe St [W], Queen St [N]",70,250,160,340,250,70,340,160,,,,,55,257,19,,,2,2,21,,,218,31,4,,,4,58,6,,,,,,,,,,,,,331,224,555,25,144,169,253,265,518,68,44,112,,,,,,,198,478,1,677,2017,45,35,69,94,123,141,99,71,POINT (144.958847 -37.811039),"-37.811039, 144.958847"
VIC,Melbourne,4431,-37.813323,144.973964,4,"MacArthur St dogleg [NE], Spring St [S], Collins St [W], Spring St [N]",23,203,160,340,250,70,340,160,,,,,70,363,4,,,7,14,64,,,47,5,18,,,3,99,15,,,,,,,,,,,,,437,57,494,85,174,259,70,392,462,117,86,203,,,,,,,166,543,0,709,2017,66,67,51,82,100,101,119,123,POINT (144.973964 -37.813323),"-37.813323, 144.973964"
VIC,Melbourne,4435,-37.816005,144.972394,4,"Flinders St [E], Batman Ave [SE], Flinders St [W], Exhibition St (city) [N]",70,250,146,326,250,70,340,160,,,,,16,71,6,,,58,9,385,,,33,6,28,,,1,27,22,,,,,,,,,,,,,93,92,185,452,49,501,67,102,169,50,419,469,,,,,,,112,549,1,662,2017,25,35,78,94,90,103,129,108,POINT (144.972394 -37.816005),"-37.816005, 144.972394"
VIC,Melbourne,4436,-37.817448,144.967438,4,"Flinders St [E], Swanston St [S], Flinders St [W], Swanston St [N]",70,250,160,340,250,70,340,160,,,,,108,57,11,,,108,54,1183,,,21,19,18,,,1,517,2,,,,,,,,,,,,,176,130,306,1345,644,1989,58,113,171,520,1212,1732,,,,,,,609,1444,46,2099,2017,88,154,185,315,314,320,360,363,POINT (144.967438 -37.817448),"-37.817448, 144.967438"
VIC,Melbourne,4408,-37.795096,144.935852,4,"Upstream direction [N], Macaulay Rd [E], Moonee Ponds Crk Trail [S], Macaulay Rd [W]",7,187,98,278,180,360,278,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,712,19,971,2018,60,100,127,163,163,164,105,89,POINT (144.935852 -37.795096),"-37.795096, 144.935852"
VIC,Melbourne,4442,-37.821009,144.947427,4,"Collins St (city) [E], Harbour Esp [S], Collins St [W], Harbour Esp [N]",70,250,168,348,250,70,345,165,,,,,16,15,6,,,27,5,244,,,14,3,1,,,102,678,13,,,,,,,,,,,,,37,143,180,276,697,973,18,33,51,793,251,1044,,,,,,,263,858,3,1124,2017,80,99,118,164,178,161,195,129,POINT (144.947427 -37.821009),"-37.821009, 144.947427"
VIC,Melbourne,4446,-37.823105,144.977808,2,"Upstream direction [SE], Capital City Trail [NW]",143,323,323,143,,,,,,,,,980,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,980,68,1048,68,980,1048,,,,,,,,,,,,,190,858,0,1048,2017,53,110,153,133,148,148,182,121,POINT (144.977808 -37.823105),"-37.823105, 144.977808"
VIC,Melbourne,4454,-37.78757,144.939982,4,"Capital City Trail Ramp [NE], Flemington Rd [SE], Capital City Trail [SW], Mt Alexander Rd [N]",64,244,138,318,235,55,340,160,,,,,5,351,18,2,,5,4,3,13,,65,2,15,0,,29,19,301,0,,0,249,1,1,,,,,,,376,99,475,25,275,300,82,657,739,349,37,386,251,15,266,,,,260,809,14,1083,2017,89,100,148,150,165,181,133,117,POINT (144.939982 -37.78757),"-37.78757, 144.939982"
VIC,Melbourne,4406,-37.794117,144.927689,4,"McCracken St [N], Macaulay Rd [E], Kensington Rd [SW], Epsom [NW]",0,180,98,278,233,53,323,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,85,0,110,2018,12,3,12,17,11,18,20,17,POINT (144.927689 -37.79411700000001),"-37.794117, 144.927689"
VIC,Melbourne,4414,-37.804562,144.963226,4,"Swanston St [N], Queensberry St [E], Swanston St [S], Queensberry St [W]",8,188,98,278,188,8,278,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,570,0,926,2018,37,60,90,109,125,155,181,169,POINT (144.963226 -37.804562),"-37.804562, 144.963226"
