the_geom,cartodb_id,date_created_aest,spot_id,longitude,latitude,spot_name,spot_type,user_perspective,safe_category,unsafe_category,description,cycling_stress_rating,time_of_day,frequency,video_embed,rider_type,gender_description,submitter_name,image_attachment,no_of_comments,no_of_likes,activity,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18
0101000020E6100000D6CADF181D186240467FC39F3CF342C0,6199,2020-05-20 11:04:00+00,395146,144.7535519,-37.9002876,"Sneydes Road,  Victoria",Unsafe Spot,cycling,N/A,Too much vehicle traffic,very busy intersection and the main route from Werribee to  city,4,evening peak,fewtime week,,very confident,,Phil,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E61000002D4377A4D51F62403F92EDD7F8EB42C0,768,2021-04-20 21:21:00+00,380512,144.9948294,-37.8435316,"Chapel Street,  Victoria",Unsafe Spot,cycling,N/A,Car dooring,"Very frequent have to stop suddenly due to car doors. Typically ride slowly along Chapel St, and try to avoid when possible.",4,evening peak,fewtime week,,very confident,,,,0,10,10,,,,,,,,,,,,,,,,,,
0101000020E61000000B58BCA2A51D6240A2B19BBEC3E042C0,1036,2021-05-20 10:19:00+00,396535,144.9264692,-37.75597365,503 Bus Stop,Unsafe Spot,cycling,N/A,Cycle lane blocked,It's good that there's a cycle lane here but the bus stop is also a timing point so I often have to merge into traffic to get around a bus,3,morning peak,fewtime week,,somewhat confident,,Cathy,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E610000020D4450AA51C6240EEF5283B01EA42C0,1031,2020-05-20 11:39:00+00,395269,144.8951465,-37.82816257,"Douglas Parade,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane blocked,There is some sort of service / pipes area along this road where trucks appear to like parking right across the cycle track. This forces the cyclist out into oncoming traffic . ,4,afternoon,once month,,very confident,,Tim c ,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E610000049939C5DC81D62406CBDF805E8E442C0,1045,2022-05-20 20:20:00+00,397669,144.9307087,-37.78833079,"Racecourse Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane blocked,Double parked cars,3,evening peak,daily,,very confident,,Sebastian,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000006B3C22F011266240414131CB01E742C0,1255,2023-04-20 09:38:00+00,381031,145.1896897,-37.80474224,"Mitcham Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,bicycle path ends on Mitcham road at Park road. I use this to travel down to Mitcham train station.,4,anytime,fewtime week,,interested concerned,,Wai,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000D083166D2957624068A0097FCC4742C0,1501,2020-05-20 12:53:00+00,395600,146.7238069,-36.56092823,"Standish Street roundabout, Myrtleford Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,Bike lane ends. Should continue along Myrtle Street to connect with Rail Trail,3,anytime,fewtime week,,very confident,,,,1,0,1,Anon: Bike lane ends because you turn off the road onto the rail trail to avoid riding along the busy road with reversing cars,,,,,,,,,,,,,,,,,
0101000020E6100000947252F3701F624045D18757A7ED42C0,1927,2021-04-20 21:18:00+00,380511,144.9825379,-37.85666937,"St Kilda Road,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,Cars often cross over bicycle lame to reach ramp,3,afternoon,once month,,very confident,,,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000AC4896DD9D1F624067855C8859EA42C0,1948,2023-04-20 13:22:00+00,381176,144.9880207,-37.83085732,"Punt Road,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,Very unsafe,4,anytime,fewtime week,,very confident,,,,0,4,4,,,,,,,,,,,,,,,,,,
0101000020E61000005395B6B8C61C6240E31F32BC44E842C0,1950,2023-04-20 19:14:00+00,381231,144.899258,-37.81459763,"Deadly Somerville Road,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,"Left turning massive B-double trucks veer into  bike lane or aggressively tailgate bikes on approach to slip-lane.
Someone has already died here, someone else will too - guaranteed.",4,anytime,daily,,very confident,,Terrified,,1,13,14,"Dan: Must Get In Front drivers accelerate hard, speed past closely, and swing into the bike lane to cut you off, often slamming on their brakes and coming to complete stops. Heaven forbid they should actually merge in behind you which wouldn't even impact their travel time. Very poor driver behavior, something needs to be done.",,,,,,,,,,,,,,,,,
0101000020E61000006F2FC445091B6240729F2476D0EC42C0,1952,2023-04-20 21:49:00+00,381304,144.8448819,-37.85011174,"Millers Road,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,Tight clearance. Fast cars & trucks. Multiple lands,3,morning peak,once month,,very confident,,,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E6100000952D9276232662402FF44E266AE742C0,2405,2020-05-20 13:58:00+00,395776,145.191829,-37.80792693,"Mitcham Road,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,Merging lanes near school intersection,1,not relevant,never,,somewhat confident,,John,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E610000087F82C740A206240CC26C0B0FCDC42C0,2425,2020-05-20 21:33:00+00,396277,145.0012761,-37.7264615,"Powell Street, Keon Park Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,Difficult to cross road. ,1,,daily,,,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000008768194EFE1962405ADB9056E7EE42C0,2460,2022-05-20 18:38:00+00,397644,144.8122931,-37.86643488,"Maidstone Street,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,yes,3,evening peak,once fortnight,,interested concerned,,Afonso,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000902D701EF31F6240EFB42DB14FF142C0,2787,2020-04-20 20:04:00+00,380031,144.9984276,-37.88524451,Heading south past Glenhuntly road,Unsafe Spot,cycling,N/A,Narrow,"The road significantly Narrows (outside McDonalds) when you are on the main highway, leading to reduced car passing distance and dangerous riding.",2,evening peak,daily,,very confident,,,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E61000006D61CC4C1F1F6240B0BDA29D4BEE42C0,2795,2021-04-20 23:25:00+00,380567,144.9725708,-37.86168261,"Jacka Boulevard,  Victoria",Unsafe Spot,cycling,N/A,Narrow,Bike lane Narrows where car parks start just after lights and creates a choke point.,3,anytime,once month,,very confident,,James,,0,6,6,,,,,,,,,,,,,,,,,,
